City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,papao,-17.75,-149.55,25.82,77,100,2.7,PF,1702938310
122,mogocha,53.7333,119.7667,-27.9,95,100,1.63,RU,1702938049
123,atafu village,-8.5421,-172.5159,29.31,73,67,2.53,TK,1702938310
124,stranraer,54.9023,-5.0273,9.48,88,100,7.3,GB,1702938310
125,mareeba,-17.0,145.4333,23.05,96,100,2.15,AU,1702938310
126,aasiaat,68.7098,-52.8699,-11.55,90,97,12.53,GL,1702938311
127,kipushi,-11.7667,27.2333,18.67,93,100,1.57,CD,1702938311
128,wenling,28.3669,121.36,7.28,92,100,5.03,CN,1702938311
129,bantogon,6.5333,124.0333,26.58,78,100,3.04,PH,1702938311
130,ciudad lazaro cardenas,17.9583,-102.2,28.34,71,10,4.38,MX,1702938311
131,medvedevo,56.6339,47.804,-3.42,94,100,4.02,RU,1702938311
132,st. john's,47.5649,-52.7093,5.38,88,75,6.17,CA,1702938264
133,otegen batyra,43.4278,77.0222,-5.69,93,75,1.0,KZ,1702938312
134,bady bassitt,-20.9181,-49.4453,34.11,33,40,2.57,BR,1702938312
135,aioun,16.6614,-9.6149,18.27,14,93,7.62,MR,1702938312
136,la ronge,55.1001,-105.2842,-1.86,69,40,4.12,CA,1702938312
137,karratha,-20.7377,116.8463,23.03,67,2,5.58,AU,1702938312
138,fort mcmurray,56.7268,-111.381,1.77,47,0,6.69,CA,1702938098
139,ha'il,27.5219,41.6907,9.01,49,0,0.0,SA,1702938313
140,nyala,12.05,24.8833,22.62,28,89,4.71,SD,1702938313
141,sitka,57.0531,-135.33,1.94,80,40,0.0,US,1702938313
142,torghay,49.6339,63.4981,-8.49,94,100,4.2,KZ,1702938313
143,neryungri,56.6709,124.6491,-39.6,100,95,1.61,RU,1702938259
144,lianhe,47.1333,129.2667,-28.24,96,77,0.8,CN,1702938313
145,hamilton,39.1834,-84.5333,0.79,78,100,9.26,US,1702938314
146,north bend,43.4065,-124.2243,14.48,94,75,3.6,US,1702938314
147,port saint john's,-31.6229,29.5448,21.17,85,100,4.28,ZA,1702938314
148,santa maria del oro,25.9333,-105.3667,20.61,18,90,2.21,MX,1702938314
149,kempsey,-31.0833,152.8333,27.75,75,89,3.58,AU,1702938314
150,alice springs,-23.7,133.8833,24.64,45,87,9.42,AU,1702938314
151,saint croix,17.7397,-64.7388,26.25,79,40,5.66,VI,1702938315
152,manjo,4.8428,9.8217,22.99,85,79,0.39,CM,1702938315
153,klyuchi,52.2667,79.1667,-13.62,59,100,7.49,RU,1702938315
154,kassala,15.451,36.4,24.94,44,4,3.24,SD,1702938315
155,el haouaria,37.05,11.0144,16.01,78,100,6.26,TN,1702938315
156,portland,45.5234,-122.6762,10.53,72,75,6.17,US,1702937815
157,sarmiento,-45.5882,-69.07,18.47,32,3,3.45,AR,1702938316
158,ebon,4.582,168.6964,27.9,78,94,8.51,MH,1702938316
159,nova sintra,14.8667,-24.7167,21.86,71,9,4.82,CV,1702938316
160,ancud,-41.8697,-73.8203,15.98,48,0,2.91,CL,1702938316
161,hithadhoo,-0.6,73.0833,28.14,76,83,3.33,MV,1702938316
162,yorkton,51.2167,-102.4677,-4.09,68,0,4.63,CA,1702938316
163,acajutla,13.5928,-89.8275,29.88,40,71,1.47,SV,1702938103
164,hadibu,12.65,54.0333,24.73,78,67,6.79,YE,1702938317
165,papatowai,-46.5619,169.4708,16.97,48,95,0.74,NZ,1702938317
166,rongelap,11.1635,166.8941,27.12,76,26,9.86,MH,1702938317
167,nago,26.5881,127.9761,22.47,72,6,5.84,JP,1702938317
168,lorengau,-2.0226,147.2712,27.71,80,98,1.32,PG,1702938318
169,toulepleu guere,6.574,-8.4259,23.07,31,33,1.19,CI,1702938318
170,hanak,41.2336,42.8472,-6.95,84,74,1.36,TR,1702938318
171,bordighera,43.7806,7.6645,15.02,78,1,1.34,IT,1702938318
172,weno,7.4515,151.8468,28.03,82,55,10.41,FM,1702938318
173,barcelona,41.3888,2.159,13.26,56,0,5.14,ES,1702938030
174,filiatra,37.15,21.5833,10.39,55,0,1.14,GR,1702938319
175,boiling springs,35.0465,-81.9818,13.06,32,0,6.17,US,1702938319
176,vinhais,41.8351,-7.005,4.34,68,0,1.32,PT,1702938319
177,rio grande,-32.035,-52.0986,23.06,95,100,6.03,BR,1702938319
178,praya,14.9215,-23.5087,24.3,69,40,7.2,CV,1702938319
179,kingston,17.997,-76.7936,28.53,54,40,8.75,JM,1702938200
180,pangkalanbuun,-2.6833,111.6167,23.74,97,100,0.65,ID,1702938319
181,vila velha,-20.3297,-40.2925,24.97,83,40,0.51,BR,1702938320
182,black point,-34.6187,137.8972,16.08,64,76,9.81,AU,1702938320
183,natal,-5.795,-35.2094,27.36,83,75,5.14,BR,1702938320
184,ta`u,-14.2336,-169.5144,27.71,84,88,4.83,AS,1702938320
185,whitehorse,60.7161,-135.0538,-10.11,82,75,1.54,CA,1702938320
186,reggane,26.7158,0.1714,10.24,43,0,5.03,DZ,1702938320
187,sakata,38.9167,139.855,3.1,70,75,4.12,JP,1702938321
188,santana do livramento,-30.8908,-55.5328,21.14,97,100,4.37,BR,1702938321
189,haiku-pauwela,20.9219,-156.3051,26.01,66,40,8.23,US,1702938321
190,parkes,-33.1333,148.1833,30.2,37,99,9.79,AU,1702938321
191,sao tome,0.3365,6.7273,27.42,79,67,1.63,ST,1702938321
192,parvatsar,26.8833,74.7667,12.09,37,8,3.0,IN,1702938321
193,concordia,-31.393,-58.0209,21.55,93,100,5.36,AR,1702938322
194,naze,28.3667,129.4833,18.51,73,62,6.28,JP,1702938322
195,totness,5.8833,-56.3167,26.35,85,88,4.05,SR,1702938322
196,nguigmi,14.2495,13.1092,22.25,30,7,5.4,NE,1702938322
197,jamestown,42.097,-79.2353,2.77,100,100,6.17,US,1702938143
198,daru,-9.0763,143.2092,26.25,88,99,2.79,PG,1702938322
199,taoudenni,22.6783,-3.9836,12.59,31,54,5.65,ML,1702938323
200,peterhead,57.5058,-1.7981,7.38,68,100,8.22,GB,1702938323
201,bilibino,68.0546,166.4372,-32.51,99,100,0.2,RU,1702938323
202,frontera,26.9333,-101.45,20.86,37,75,0.45,MX,1702938323
203,piedmont,37.8244,-122.2316,18.18,91,100,7.2,US,1702938323
204,touros,-5.1989,-35.4608,26.87,79,100,4.94,BR,1702938324
205,coquimbo,-29.9533,-71.3436,16.85,77,75,3.6,CL,1702938324
206,cabrobo,-8.5142,-39.31,29.41,40,100,1.42,BR,1702938324
207,mermoz boabab,14.7065,-17.4758,25.31,44,99,8.23,SN,1702938324
